This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
29,18,47,Ar,-25366.338,8311.404,46972768.11
28,19,47,K,-35711.976,8514.879,46961661.61
27,20,47,Ca,-42344.418,8639.349,46954541.39
26,21,47,Sc,-44336.595,8665.09,46952402.7
25,22,47,Ti,-44937.364,8661.227,46951757.75
24,23,47,V,-42006.618,8582.225,46954904.04
23,24,47,Cr,-34562.578,8407.195,46962895.54
22,25,47,Mn,-22566.374,8135.311,46975774
30,18,48,Ar,-22281.337,8242.132,47976080
29,19,48,K,-32284.477,8434.232,47965341.19
28,20,48,Ca,-44224.629,8666.686,47952522.9
27,21,48,Sc,-44503.842,8656.204,47952223.16
26,22,48,Ti,-48492.709,8723.006,47947940.93
25,23,48,V,-44477.694,8623.061,47952251.23
24,24,48,Cr,-42822.02,8572.269,47954028.67
23,25,48,Mn,-29296.338,8274.185,47968549.09
30,19,49,K,-29611.49,8372.274,48968210.76
29,20,49,Ca,-41299.765,8594.844,48955662.88
28,21,49,Sc,-46561.265,8686.256,48950014.42
27,22,49,Ti,-48563.787,8711.157,48947864.63
26,23,49,V,-47961.931,8682.908,48948510.75
25,24,49,Cr,-45333.06,8613.291,48951332.96
24,25,49,Mn,-37620.634,8439.929,48959612.59
23,26,49,Fe,-24750.727,8161.311,48973429
31,19,50,K,-25727.848,8288.582,49972380.02
30,20,50,Ca,-39589.224,8550.163,49957499.22
29,21,50,Sc,-44547.382,8633.679,49952176.42
28,22,50,Ti,-51431.66,8755.718,49944785.84
27,23,50,V,-49224.013,8695.918,49947155.85
26,24,50,Cr,-50262.072,8701.032,49946041.44
25,25,50,Mn,-42627.595,8532.696,49954237.39
24,26,50,Fe,-34476.456,8354.026,49962988
32,19,51,K,-22516.196,8221.349,50975827.87
31,20,51,Ca,-36332.304,8476.913,50960995.67
30,21,51,Sc,-43228.684,8596.796,50953592.1
29,22,51,Ti,-49732.837,8708.988,50946609.6
28,23,51,V,-52203.842,8742.099,50943956.87
27,24,51,Cr,-51451.395,8712.005,50944764.65
26,25,51,Mn,-48243.877,8633.772,50948208.07
25,26,51,Fe,-40202.555,8460.759,50956840.78
24,27,51,Co,-27342.143,8193.254,50970647
33,19,52,K,-17137.627,8115.029,51981602
32,20,52,Ca,-34266.266,8429.381,51963213.65
31,21,52,Sc,-40443.279,8533.125,51956582.35
